DMA,DMA_code,Assignments,Assignment_Rank,Mushroom_Coffee,Luwak_Coffee,Kopi_Luwak,Functional_Food,Beta_Glucan,Health_Supplement,dma_rank, dma_tv_home ,dem_rank,zipcode, return_cnt , elderly_cnt , single_cnt , married_joint_cnt , head_household_cnt ,elerly_perc,single_perc,married_joint_perc,head_household_perc,return_perc, wage_per_capita , total_agi_per_capita , total_tax_per_capita , single_cnt_100K , married_joint_100K , head_household_100K , elderly_cnt_100K , return_cnt_100K ,elerly_perc_100K,100K_given_elerly_perc,100K_given_single_perc,100K_given_married_joint_perc,100K_given_head_household_perc,return_perc_100K, wage_per_capita_100K , total_agi_per_capita_100K , total_tax_per_capita_100K 
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20190," 11,570 "," 2,720 "," 7,130 "," 3,270 ", 870 ,23.5%,61.6%,28.3%,7.5%,100.0%," 88,690 "," 125,127 "," 126,676 "," 1,990 "," 2,290 ", 210 ," 1,280 "," 4,610 ",27.8%,47.1%,27.9%,70.0%,24.1%,39.8%," 187,768 "," 276,692 "," 279,952 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20001," 25,730 "," 2,270 "," 19,820 "," 3,110 "," 2,130 ",8.8%,77.0%,12.1%,8.3%,100.0%," 101,457 "," 138,780 "," 140,357 "," 5,530 "," 2,240 ", 220 , 550 ," 8,250 ",6.7%,24.2%,27.9%,72.0%,10.3%,32.1%," 214,779 "," 317,002 "," 320,572 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22202," 15,090 "," 2,200 "," 10,770 "," 3,300 ", 530 ,14.6%,71.4%,21.9%,3.5%,100.0%," 88,207 "," 118,107 "," 119,526 "," 2,990 "," 2,560 ", 200 ," 1,260 "," 5,950 ",21.2%,57.3%,27.8%,77.6%,37.7%,39.4%," 175,984 "," 254,399 "," 257,378 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20815," 14,240 "," 5,540 "," 6,960 "," 6,240 ", 660 ,38.9%,48.9%,43.8%,4.6%,100.0%," 87,147 "," 189,208 "," 193,651 "," 1,920 "," 5,510 ", 360 ," 3,710 "," 7,960 ",46.6%,67.0%,27.6%,88.3%,54.5%,55.9%," 201,326 "," 469,139 "," 480,303 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85262," 6,740 "," 3,640 "," 2,450 "," 3,990 ", 180 ,54.0%,36.4%,59.2%,2.7%,100.0%," 94,802 "," 235,102 "," 238,403 ", 660 ," 3,140 ", 70 ," 2,420 "," 3,900 ",62.1%,66.5%,26.9%,78.7%,38.9%,57.9%," 237,525 "," 606,609 "," 613,556 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75205," 10,170 "," 2,640 "," 5,240 "," 4,170 ", 550 ,26.0%,51.5%,41.0%,5.4%,100.0%," 116,730 "," 298,258 "," 301,496 "," 1,410 "," 3,710 ", 250 ," 1,810 "," 5,480 ",33.0%,68.6%,26.9%,89.0%,45.5%,53.9%," 279,510 "," 797,141 "," 805,021 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22209," 8,190 "," 1,210 "," 6,100 "," 1,530 ", 360 ,14.8%,74.5%,18.7%,4.4%,100.0%," 96,160 "," 154,727 "," 157,050 "," 1,630 "," 1,120 ", 70 , 710 ," 2,870 ",24.7%,58.7%,26.7%,73.2%,19.4%,35.0%," 200,636 "," 364,713 "," 370,443 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,33483," 7,310 "," 3,400 "," 4,250 "," 2,400 ", 440 ,46.5%,58.1%,32.8%,6.0%,100.0%," 140,423 "," 477,837 "," 481,444 "," 1,130 "," 1,800 ", 110 ," 1,870 "," 3,110 ",60.1%,55.0%,26.6%,75.0%,25.0%,42.5%," 367,824 "," 1,334,882 "," 1,343,454 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20816," 7,470 "," 2,860 "," 3,140 "," 3,790 ", 370 ,38.3%,42.0%,50.7%,5.0%,100.0%," 82,368 "," 165,767 "," 170,042 ", 830 ," 3,420 ", 210 ," 1,990 "," 4,530 ",43.9%,69.6%,26.4%,90.2%,56.8%,60.6%," 195,442 "," 399,928 "," 409,969 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,33477," 7,000 "," 4,600 "," 3,530 "," 3,040 ", 240 ,65.7%,50.4%,43.4%,3.4%,100.0%," 72,568 "," 342,841 "," 345,583 ", 930 ," 2,220 ", 60 ," 2,420 "," 3,270 ",74.0%,52.6%,26.3%,73.0%,25.0%,46.7%," 182,222 "," 930,155 "," 936,326 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75225," 10,680 "," 4,420 "," 4,790 "," 5,350 ", 370 ,41.4%,44.9%,50.1%,3.5%,100.0%," 109,755 "," 269,937 "," 273,421 "," 1,260 "," 4,760 ", 180 ," 2,770 "," 6,290 ",44.0%,62.7%,26.3%,89.0%,48.6%,58.9%," 278,164 "," 711,712 "," 719,740 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22315," 14,400 "," 3,380 "," 7,090 "," 5,590 "," 1,220 ",23.5%,49.2%,38.8%,8.5%,100.0%," 82,935 "," 107,676 "," 108,698 "," 1,860 "," 4,240 ", 420 ," 1,650 "," 6,660 ",24.8%,48.8%,26.2%,75.8%,34.4%,46.3%," 171,227 "," 223,977 "," 225,881 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85253," 8,200 "," 3,400 "," 3,830 "," 3,910 ", 330 ,41.5%,46.7%,47.7%,4.0%,100.0%," 116,493 "," 319,550 "," 322,823 "," 1,000 "," 3,370 ", 160 ," 2,350 "," 4,600 ",51.1%,69.1%,26.1%,86.2%,48.5%,56.1%," 292,792 "," 860,663 "," 868,622 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22203," 14,580 "," 2,180 "," 10,710 "," 2,910 ", 700 ,15.0%,73.5%,20.0%,4.8%,100.0%," 89,922 "," 115,962 "," 117,327 "," 2,790 "," 2,140 ", 150 ," 1,020 "," 5,170 ",19.7%,46.8%,26.1%,73.5%,21.4%,35.5%," 183,991 "," 248,746 "," 251,820 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22101," 14,030 "," 5,180 "," 5,730 "," 7,390 ", 580 ,36.9%,40.8%,52.7%,4.1%,100.0%," 100,570 "," 209,199 "," 212,977 "," 1,490 "," 6,590 ", 360 ," 3,570 "," 8,620 ",41.4%,68.9%,26.0%,89.2%,62.1%,61.4%," 246,455 "," 530,211 "," 539,509 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01773," 2,970 "," 1,380 "," 1,390 "," 1,380 ", 150 ,46.5%,46.8%,46.5%,5.1%,100.0%," 82,809 "," 210,803 "," 214,075 ", 360 ," 1,190 ", 70 , 880 ," 1,630 ",54.0%,63.8%,25.9%,86.2%,46.7%,54.9%," 199,876 "," 535,121 "," 542,507 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20814," 15,800 "," 4,900 "," 8,760 "," 5,670 ", 850 ,31.0%,55.4%,35.9%,5.4%,100.0%," 94,375 "," 172,430 "," 175,269 "," 2,260 "," 4,690 ", 330 ," 2,960 "," 7,470 ",39.6%,60.4%,25.8%,82.7%,38.8%,47.3%," 211,175 "," 418,415 "," 425,209 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02118," 14,950 "," 2,090 "," 10,500 "," 2,870 "," 1,260 ",14.0%,70.2%,19.2%,8.4%,100.0%," 125,689 "," 204,524 "," 206,968 "," 2,700 "," 1,860 ", 110 , 680 ," 4,790 ",14.2%,32.5%,25.7%,64.8%,8.7%,32.0%," 294,841 "," 515,322 "," 521,367 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20024," 9,130 "," 1,630 "," 6,830 "," 1,140 ", 880 ,17.9%,74.8%,12.5%,9.6%,100.0%," 87,656 "," 113,508 "," 114,897 "," 1,750 ", 910 , 100 , 590 ," 2,850 ",20.7%,36.2%,25.6%,79.8%,11.4%,31.2%," 179,621 "," 241,390 "," 244,304 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85263," 1,700 "," 1,320 ", 550 ," 1,130 ", 30 ,77.6%,32.4%,66.5%,1.8%,100.0%," 43,685 "," 136,645 "," 138,542 ", 140 , 830 , -   , 810 , 980 ,82.7%,61.4%,25.5%,73.5%,0.0%,57.6%," 104,932 "," 308,550 "," 312,438 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22302," 9,830 "," 1,940 "," 6,160 "," 2,710 ", 680 ,19.7%,62.7%,27.6%,6.9%,100.0%," 95,976 "," 145,140 "," 147,778 "," 1,510 "," 2,050 ", 160 , 960 ," 3,800 ",25.3%,49.5%,24.5%,75.6%,23.5%,38.7%," 205,963 "," 336,169 "," 342,907 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02127," 21,520 "," 2,420 "," 16,800 "," 3,150 "," 1,190 ",11.2%,78.1%,14.6%,5.5%,100.0%," 104,664 "," 130,413 "," 131,634 "," 4,090 "," 2,360 ", 110 , 660 ," 6,680 ",9.9%,27.3%,24.3%,74.9%,9.2%,31.0%," 228,278 "," 291,335 "," 293,993 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02138," 14,040 "," 3,680 "," 9,250 "," 3,840 ", 620 ,26.2%,65.9%,27.4%,4.4%,100.0%," 94,276 "," 222,467 "," 224,976 "," 2,230 "," 3,020 ", 180 ," 2,070 "," 5,550 ",37.3%,56.3%,24.1%,78.6%,29.0%,39.5%," 207,466 "," 568,212 "," 574,117 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75202," 1,730 ", 130 ," 1,330 ", 250 , 120 ,7.5%,76.9%,14.5%,6.9%,100.0%," 102,792 "," 136,772 "," 138,961 ", 320 , 170 , -   , 50 , 520 ,9.6%,38.5%,24.1%,68.0%,0.0%,30.1%," 218,762 "," 310,264 "," 315,533 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22308," 5,960 "," 1,920 "," 2,080 "," 3,500 ", 230 ,32.2%,34.9%,58.7%,3.9%,100.0%," 82,681 "," 132,033 "," 134,135 ", 500 ," 3,170 ", 140 ," 1,300 "," 3,900 ",33.3%,67.7%,24.0%,90.6%,60.9%,65.4%," 189,981 "," 298,256 "," 302,522 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22307," 5,350 "," 1,720 "," 2,780 "," 2,100 ", 310 ,32.1%,52.0%,39.3%,5.8%,100.0%," 84,413 "," 137,744 "," 139,886 ", 660 ," 1,720 ", 70 , 880 ," 2,520 ",34.9%,51.2%,23.7%,81.9%,22.6%,47.1%," 183,888 "," 314,585 "," 319,484 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02141," 7,650 "," 1,000 "," 5,730 "," 1,390 ", 380 ,13.1%,74.9%,18.2%,5.0%,100.0%," 99,659 "," 123,156 "," 124,315 "," 1,350 ", 940 , 50 , 280 ," 2,390 ",11.7%,28.0%,23.6%,67.6%,13.2%,31.2%," 214,263 "," 269,943 "," 272,320 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,20817," 16,800 "," 5,910 "," 6,870 "," 8,550 ", 890 ,35.2%,40.9%,50.9%,5.3%,100.0%," 89,395 "," 172,031 "," 175,755 "," 1,600 "," 7,530 ", 470 ," 4,000 "," 9,850 ",40.6%,67.7%,23.3%,88.1%,52.8%,58.6%," 209,508 "," 418,261 "," 427,086 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75209," 7,510 "," 1,930 "," 4,420 "," 2,380 ", 580 ,25.7%,58.9%,31.7%,7.7%,100.0%," 113,476 "," 236,684 "," 239,386 "," 1,020 "," 1,830 ", 120 , 990 ," 3,030 ",32.7%,51.3%,23.1%,76.9%,20.7%,40.3%," 266,619 "," 611,761 "," 618,220 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22027," 1,000 ", 280 , 390 , 540 , 60 ,28.0%,39.0%,54.0%,6.0%,100.0%," 87,939 "," 128,038 "," 130,791 ", 90 , 470 , 30 , 180 , 590 ,30.5%,64.3%,23.1%,87.0%,50.0%,59.0%," 195,636 "," 289,758 "," 295,589 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,33473," 5,300 "," 2,820 "," 1,610 "," 3,270 ", 290 ,53.2%,30.4%,61.7%,5.5%,100.0%," 53,529 "," 136,133 "," 138,321 ", 370 ," 2,510 ", 100 ," 1,740 "," 3,030 ",57.4%,61.7%,23.0%,76.8%,34.5%,57.2%," 119,777 "," 310,162 "," 314,296 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85266," 5,750 "," 3,200 "," 2,150 "," 3,360 ", 170 ,55.7%,37.4%,58.4%,3.0%,100.0%," 64,851 "," 153,537 "," 156,104 ", 490 ," 2,570 ", 80 ," 1,940 "," 3,180 ",61.0%,60.6%,22.8%,76.5%,47.1%,55.3%," 156,795 "," 362,220 "," 366,891 "
